Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
SIPRO S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;ivo.tommasini@sipro.vr.it;045508822;VR;VIALE DELL'INDUSTRIA, 7 - VERONA;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
CAD IT SPA;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;risorseumane@caditgroup.comroup.com;0458211111;VR;VIA TORRICELLI, 44/A - VERONA;;
ASSOCIAZIONE VERONA FABLAB;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
RIZZI TECNOLOGIE DI RIZZI FLAVIO;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;flavio.rizzi@live.com;;VR;VIA VIVALDI 4 - SAN PIETRO IN CARIANO;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
VICENTINI SPA;3BL TRASPORTI E LOGISTICA ART. LOGISTICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;LOG04 Tecnico approvvigionatore e responsabile acquisti\n\n\n;Assistono gli specialisti negli acquisti sul mercato di beni, attrezzature, materie prime e forniture di servizi ovvero attivano e seguono le procedure di valutazione dei prezzi di mercato, della qualità e delle caratteristiche delle merci da acquistare, di scelta dei fornitori e di acquisizione dei beni\n\n\n\n
TELEFIN SPA;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@telefin.it;0458100404;VR;VIA ALBERE, 87/A - VERONA;TLC03 - Amministratore di sistemi\n\n\n;Le professioni comprese in questa unità analizzano, progettano, sviluppano sistemi informatici, controllandone e garantendone le prestazioni ottimali e la sicurezza. Definiscono le modalità di configurazione, di mantenimento e di gestione di reti di computer, dei relativi ambienti di elaborazione e delle operazioni di disaster recovery predispongono le procedure di monitoraggio delle prestazioni dei sistemi informatici e delle reti.\n\n\n
LEM ELETTRONICA SRL;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@lemelettronica.it;;BS;GREZZE 38 - DESENZANO DEL GARDA;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
LEM ELETTRONICA SRL;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@lemelettronica.it;;BS;GREZZE 38 - DESENZANO DEL GARDA;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
LEOTRON SAS DI GIULIANI A. & C.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;m.maccini@leotron.it;0454684107;VR;CORSO MILANO 122 A - VERONA;;
HIKARI SRL;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;amministrazione@hikavi.eu;0458018058;VR;VIA MIRANDOLA 37A - PESCANTINA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n\n
ASSOCIAZIONE VERONA FABLAB;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n\n
TERMINALI ITALIA S.R.L. FF.SS;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@terminaliitalia.it;0458624411;VR;VIA SOMMACAMPAGNA 32 - VERONA;LOG06 Tecnico del trasporto modale ed intermodale \n\n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n\n
OROTIG SRL;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@orotig.com;0456400865;VR;VIA XXV APRILE 47 - CASTELNUOVO DEL GARDA;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
RBR VERONA SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;rbrverona@rbrverona.it;0458403665;VR;VIA ANNA DA SCHIO 2 - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
MG LAB SRL;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@mglabsrl.it;0456704064;VR;VIA DELL'AGRICOLTURA 7 - BUSSOLENGO;INF07 - Amministratore di sistemi\n\n;\nLe professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e mantenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n
TOR MEC AMBROSI S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;tormec@legalmail.it;0456050205;VR;VIA MAESTRI DEL LAVORO,16 - ZEVIO;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
ARCESE TRASPORTI SPA;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;recruiting@arcese.com;0454573216;TN;VIA ALDO MORO 95 - ARCO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
BPS COMPUTER SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;stefania@bpscomputer.it;045549872;VR;PIAZZA UMBERTO I, 47 - SAN GIOVANNI LUPATOTO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
SUNSET MOTORCYCLES DI BUTTURINI ROBERTO;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;SUNSETMOTORCYCLES@GMAIL.COM;3462305825;VR;VIA MOLINI 6 - BARDOLINO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
FRANCHI E TABARELLI SRL;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;info@franchietabarelli.it;045 6370898;VR;VIA GALVANI 8 - VALEGGIO SUL MINCIO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
TURCO FEDERICO OFF.MECC RIPARAZIONI;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;045546478;VR;VIA MONTE CIMONE, 7 - SAN GIOVANNI LUPATOTO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
FERROVIE DELLO STATO ITALIANE;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;PA.ZANELLA@TRENITALIA.IT;0458024675;RM;PIAZZA DELLA CROCE ROSSA , 1 - ROMA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n\n
CERPELLONI  S.R.L.;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@cerpelloni.com;045532612;VR;VIALE UNITA' ITALIA 274/C - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n\n
TELEPHONE HOUSE SNC;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@telephonehouse.it;0458781119;VR;VIA NAZIONALE, 16 - SAN MARTINO BUON ALBERGO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n
MYWORLD ITALIA SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;office.it@myworld.com;045 2080571;VR;VIALE DEL LAVORO 33 - SAN MARTINO BUON ALBERGO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
COMUNE DI VERONA;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;tirocini.lavoro@comune.verona.it;0458077400;VR;P.ZZA BR, 1 - VERONA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n
ARCESE TRASPORTI SPA;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;recruiting@arcese.com;0454573216;TN;VIA ALDO MORO 95 - ARCO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
HAXTEEL SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;marco@haxteel.com;0458781597;VR;VIA FENIL NOVO, 2 - SAN MARTINO BUON ALBERGO;TLC08 - Installatori, manutentori e riparatori di apparecchiature informatiche\n\n\n\n\n\n\n\n\n\n\n\n;\nLe professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, manutengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n\n
NOVA SYSTEMS SERVICES S.R.L.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;bavesani@novasystems.it;0458788211;VR;VIALE DEL LAVORO, 39 - SAN MARTINO BUON ALBERGO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
NAUTICA MARE SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;sales@nauticamare.it;0457650168;VR;VIA VERONA 15 - CALDIERO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
DIGITAL IDEA SRL;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@digitalidea.it;0456703929;VR;PIAZZA DANESE, 4 - BUSSOLENGO;;
ANT SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@antsrl.eu;045 878 1380;VR;VIA DELLA CONCORDIA 4 - SAN MARTINO BUON ALBERGO;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
SIDERGAS SPA;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;;0456862044;VR;V.LE RIMEMBRANZA, 17 - SANT'AMBROGIO DI VALPOLICELLA; LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n\n;Gestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n\n
SIDERGAS SPA;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;;0456862044;VR;V.LE RIMEMBRANZA, 17 - SANT'AMBROGIO DI VALPOLICELLA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
TX LOGISTIK AG;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;s.avesani@txlogistik.eu;0458624614;BZ;PIAZZA WALTHER,22 - BOLZANO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
CM TRASPORTI SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;;045682754;VR;VIA MONTE CIMONE 8 - SAN GIOVANNI LUPATOTO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
IEM S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@iemimpiantielettrici.com;045563003;VR;VIA GALVANI, 22/C - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
IL TRUCIOLO SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;;031 3353131;CO;VIA TRE VENEZIE 22 - MARIANO COMENSE;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
ARCESE TRASPORTI SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;recruiting@arcese.com;0454573216;TN;VIA ALDO MORO 95 - ARCO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
VICENTINI SPA;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n
RIGHETTI RIDOLFI SPA;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;0456080950;VR;VIA SAN QUIRICO 9 - SONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
